Codigo,PrimeiroNome,SegundoNome,UltimoNome,DataNasci,RG,Endereco,CEP,Cidade,Fone,CodigoDepartamento,Funcao,Salario,CPF
1,Helena,Raira,Magaldi,18,1,Alameda das Rosas,1,Edmonton,5559098,1,Engenheira de Software,100,1000000
5,Juliana,Lima,Ribeiro,21,5,Rua Marielle Franco,12,Brasília,53429884,1,Arte e Cultura,188,5000000
8,Kristen,Elizabeth,Hussain,9,7,University Avenue,98865348,Edmonton,38233884,1,Researcher,3,8000000
7,Maria,Eduarda,Matos,11,7,SQN 120 bloco K,71224348,Mexico City,4488884,1,Back-End Developer,120,7000000
4,Marta,Christina,Ferreira,-9,4,Rua Honestino Guimarães,34012,Brasília,5558884,42,Engenheira Ambiental,96,4000000
10,Mary,Kenneth,Keller,11,6,32 Street,7664348,London,3843884,90,Consultant,70,10000000
9,Mirna,Santos,Lutz,11,6,Rua Bertha Lutz,65348,São Paulo,7665884,1,Analista,190,9000000
6,Paola,Maria,Matos,11,6,Rua Liberdade,65348,Ottawa,3865884,90,Administradora,120,6000000
2,Patricia,Maria,McKenney,14,2,Rua Ada Lovelace,12,João Pessoa,5559884,1,Marketing,120,2000000
3,Tamires,Joana,Smith,16,3,Alameda Guido van Rossum,324,São Carlos,55344884,34,Espeleóloga,120,3000000
